id,part,topic,question,file_path
25,3,Family similarities & Genetic research,In what ways can people in a family be similar to each other?,mp3_files/audio_num_25.mp3
26,3,Family similarities & Genetic research,Do you think that daughters are always more similar to mothers than to male relatives? What about sons and fathers?,mp3_files/audio_num_26.mp3
27,3,Family similarities & Genetic research,"In terms of personality, are people more influenced by their family or by their friends? In what ways?",mp3_files/audio_num_27.mp3
28,3,Family similarities & Genetic research,Where can people in your country get information about genetic research?,mp3_files/audio_num_28.mp3
29,3,Family similarities & Genetic research,How do people in your country feel about genetic research?,mp3_files/audio_num_29.mp3
30,3,Family similarities & Genetic research,Should this research be funded by governments or private companies? Why?,mp3_files/audio_num_30.mp3
31,1,Your friends,Do you prefer to have one particular friend or a group of friends? [Why?],mp3_files/audio_num_31.mp3
32,1,Your friends,What do you like doing most with your friend/s?,mp3_files/audio_num_32.mp3
33,1,Your friends,Do you think it's important to keep in contact with friends you knew as a child? [Why/Why not?],mp3_files/audio_num_33.mp3
34,1,Your friends,What makes a friend into a good friend?,mp3_files/audio_num_34.mp3
35,3,Important choices & Choices in everyday life,What are the typical choices people make at different stages of their lives?,mp3_files/audio_num_35.mp3
36,3,Important choices & Choices in everyday life,Should important choices be made by parents rather than by young adults?,mp3_files/audio_num_36.mp3
37,3,Important choices & Choices in everyday life,Why do some people like to discuss choices with other people?,mp3_files/audio_num_37.mp3
38,3,Important choices & Choices in everyday life,What kind of choices do people have to make in their everyday life?,mp3_files/audio_num_38.mp3
39,3,Important choices & Choices in everyday life,Why do some people choose to do the same things every day? Are there any disadvantages in this?,mp3_files/audio_num_39.mp3
40,3,Important choices & Choices in everyday life,Do you think that people today have more choices to make than in the past?,mp3_files/audio_num_40.mp3
41,1,Cold weather,Have you ever been in very cold weather? [When?],mp3_files/audio_num_41.mp3
42,1,Cold weather,How often is the weather cold where you come from?,mp3_files/audio_num_42.mp3
43,1,Cold weather,Are some parts of your country colder than others? [Why?],mp3_files/audio_num_43.mp3
44,1,Cold weather,Would you prefer to live in a hot place or a cold place? [Why?],mp3_files/audio_num_44.mp3
45,3,Competitions in school & Sporting competitions,Why do you think some school teachers use competitions as class activities?,mp3_files/audio_num_45.mp3
46,3,Competitions in school & Sporting competitions,Do you think it is a good thing to give prizes to children who do well at school? Why?,mp3_files/audio_num_46.mp3
47,3,Competitions in school & Sporting competitions,Would you say that schools for young children have become more or less competitive since you were that age? Why?,mp3_files/audio_num_47.mp3
48,3,Competitions in school & Sporting competitions,What are the advantages and disadvantages of intensive training for young sportspeople?,mp3_files/audio_num_48.mp3
49,3,Competitions in school & Sporting competitions,Some people think that competition leads to better performance from sports stars. Others think it just makes players feel insecure. What is your opinion?,mp3_files/audio_num_49.mp3
50,3,Competitions in school & Sporting competitions,Do you think that it is possible to become too competitive in sport? In what way?,mp3_files/audio_num_50.mp3
51,1,Neighbours,How well do you know the people who live next door to you?,mp3_files/audio_num_51.mp3
52,1,Neighbours,How often do you see them? [Why/Why not?],mp3_files/audio_num_52.mp3
53,1,Neighbours,What kinds of problem do people sometimes have with their neighbours?,mp3_files/audio_num_53.mp3
54,1,Neighbours,How do you think neighbours can help each other?,mp3_files/audio_num_54.mp3
55,3,Asking questions & Questionnaires in school,What kinds of organizations want to find out about people's opinions?,mp3_files/audio_num_55.mp3
56,3,Asking questions & Questionnaires in school,Do you think that questionnaires or surveys are good ways of finding out people's opinions?,mp3_files/audio_num_56.mp3
57,3,Asking questions & Questionnaires in school,What reasons might people have for not wanting to give their opinions?,mp3_files/audio_num_57.mp3
58,3,Asking questions & Questionnaires in school,Do you think it would be a good idea for schools to ask students their opinions about lessons?,mp3_files/audio_num_58.mp3
59,3,Asking questions & Questionnaires in school,What would the advantages for schools be if they ask students their opinions?,mp3_files/audio_num_59.mp3
60,3,Asking questions & Questionnaires in school,Would there be any disadvantages in asking students' opinions?,mp3_files/audio_num_60.mp3
61,1,Newspapers and Magazines,Which magazines and newspapers do you read? [Why?],mp3_files/audio_num_61.mp3
62,1,Newspapers and Magazines,What kinds of article are you most interested in? [Why?],mp3_files/audio_num_62.mp3
63,1,Newspapers and Magazines,Have you ever read a newspaper or magazine in a foreign language? [When/Why?],mp3_files/audio_num_63.mp3
64,1,Newspapers and Magazines,Do you think reading a newspaper or magazine in a foreign language is a good way to learn the language? [Why/Why not?],mp3_files/audio_num_64.mp3
65,3,Restaurants & Producing food,Why do you think people go to restaurants when they want to celebrate something?,mp3_files/audio_num_65.mp3
66,3,Restaurants & Producing food,Which are more popular in your country: fast food restaurants or traditional restaurants? Why do you think that is?,mp3_files/audio_num_66.mp3
67,3,Restaurants & Producing food,Some people say that food in an expensive restaurant is always better than food in a cheap restaurant - would you agree?,mp3_files/audio_num_67.mp3
68,3,Restaurants & Producing food,"Do you think there will be a greater choice of food available in shops in the future, or will there be less choice?",mp3_files/audio_num_68.mp3
69,3,Restaurants & Producing food,What effects has modern technology had on the way food is produced?,mp3_files/audio_num_69.mp3
70,3,Restaurants & Producing food,"How important is it for a country to be able to grow all the food it needs, without importing any from other countries?",mp3_files/audio_num_70.mp3
71,1,Flowers,Do you like to have flowers in your home? [Why/Why not?],mp3_files/audio_num_71.mp3
72,1,Flowers,Where would you go to buy flowers? [Why?],mp3_files/audio_num_72.mp3
73,1,Flowers,On what occasions would you give someone flowers?,mp3_files/audio_num_73.mp3
74,1,Flowers,Are flowers important in your culture? [Why/Why not?],mp3_files/audio_num_74.mp3
75,3,Going to meetings & International meetings,What are the different types of meeting that people often go to?,mp3_files/audio_num_75.mp3
76,3,Going to meetings & International meetings,Some people say that no-one likes to go to meetings - what do you think?,mp3_files/audio_num_76.mp3
77,3,Going to meetings & International meetings,Why can it sometimes be important to go to meetings?,mp3_files/audio_num_77.mp3
78,3,Going to meetings & International meetings,Why do you think world leaders often have meetings together?,mp3_files/audio_num_78.mp3
79,3,Going to meetings & International meetings,What possible difficulties might be involved in organising meetings between world leaders?,mp3_files/audio_num_79.mp3
80,3,Going to meetings & International meetings,Do you think that meetings between international leaders will become more frequent in the future? Or will there be less need for world leaders to meet?,mp3_files/audio_num_80.mp3
81,1,Giving gifts,When do people give gifts or presents in your country?,mp3_files/audio_num_81.mp3
82,1,Giving gifts,Do you ever take a gift when you visit someone in their home? [Why/Why not?],mp3_files/audio_num_82.mp3
83,1,Giving gifts,When did you last receive a gift? [What was it?],mp3_files/audio_num_83.mp3
84,1,Giving gifts,Do you enjoy looking for gifts for people? [Why/Why not?],mp3_files/audio_num_84.mp3
85,3,Doing new things & Learning new things,Why do you think some people like doing new things?,mp3_files/audio_num_85.mp3
86,3,Doing new things & Learning new things,What problems can people have when they try new activities for the first time?,mp3_files/audio_num_86.mp3
87,3,Doing new things & Learning new things,Do you think it's best to do new things on your own or with other people? Why?,mp3_files/audio_num_87.mp3
88,3,Doing new things & Learning new things,What kinds of things do children learn to do when they are very young? How important are these things?,mp3_files/audio_num_88.mp3
89,3,Doing new things & Learning new things,Do you think children and adults learn to do new things in the same way? How is their learning style different?,mp3_files/audio_num_89.mp3
90,3,Doing new things & Learning new things,Some people say that it is more important to be able to learn new things now than it was in the past. Do you agree or disagree with that? Why?,mp3_files/audio_num_90.mp3
91,1,Bicycles,How popular are bicycles in your home town? [Why?],mp3_files/audio_num_91.mp3
92,1,Bicycles,How often do you ride a bicycle? [Why/Why not?],mp3_files/audio_num_92.mp3
93,1,Bicycles,Do you think that bicycles are suitable for all ages? [Why/Why not?],mp3_files/audio_num_93.mp3
94,1,Bicycles,What are the advantages of a bicycle compared to a car? [Why?],mp3_files/audio_num_94.mp3
95,3,Helping other people in the community & Community Services,What are some of the ways people can help others in the community? Which is most important?,mp3_files/audio_num_95.mp3
96,3,Helping other people in the community & Community Services,Why do you think some people like to help other people?,mp3_files/audio_num_96.mp3
97,3,Helping other people in the community & Community Services,Some people say that people help others in the community more now than they did in the past. Do you agree or disagree? Why?,mp3_files/audio_num_97.mp3
98,3,Helping other people in the community & Community Services,"What types of services, such as libraries or health centres, are available to the people who live in your area? Do you think there are enough of them?",mp3_files/audio_num_98.mp3
99,3,Helping other people in the community & Community Services,Which groups of people generally need the most support in a community? Why?,mp3_files/audio_num_99.mp3
100,3,Helping other people in the community & Community Services,Who do you think should pay for the services that are available to the people in a community? Should it be the government or individual people?,mp3_files/audio_num_100.mp3
101,1,Travel,Do you enjoy travelling? [Why/Why not?],mp3_files/audio_num_101.mp3
102,1,Travel,Have you done much travelling? [Why/Why not?],mp3_files/audio_num_102.mp3
103,1,Travel,Do you think it's better to travel alone or with other people? [Why?],mp3_files/audio_num_103.mp3
104,1,Travel,Where would you like to travel in the future? [Why?],mp3_files/audio_num_104.mp3
105,3,Relationships between parents and children & Children's free-time activities,How much time do children spend with their parents in your country? Do you think that is enough?,mp3_files/audio_num_105.mp3
106,3,Relationships between parents and children & Children's free-time activities,How important do you think spending time together is for the relationships between parents and children? Why?,mp3_files/audio_num_106.mp3
107,3,Relationships between parents and children & Children's free-time activities,Have relationships between parents and children changed in recent years? Why do you think that is?,mp3_files/audio_num_107.mp3
108,3,Relationships between parents and children & Children's free-time activities,What are the most popular free-time activities with children today?,mp3_files/audio_num_108.mp3
109,3,Relationships between parents and children & Children's free-time activities,Do you think the free-time activities children do today are good for their health? Why is that?,mp3_files/audio_num_109.mp3
110,3,Relationships between parents and children & Children's free-time activities,How do you think children's activities will change in the future? Will this be a  positive change?,mp3_files/audio_num_110.mp3
111,1,School,Did you go to the secondary/high school near to where you lived? [Why/Why not?],mp3_files/audio_num_111.mp3
112,1,School,What did you like about your secondary/high school? [Why?],mp3_files/audio_num_112.mp3
113,1,School,Tell me about anything you didn't like at your school.,mp3_files/audio_num_113.mp3
114,1,School,How do you think your school could be improved? [Why/Why not?],mp3_files/audio_num_114.mp3
115,3,Owning things & Possessions,What types of things do young people in your country most want to own today? Why is this?,mp3_files/audio_num_115.mp3
116,3,Owning things & Possessions,Why do some people feel they need to own things?,mp3_files/audio_num_116.mp3
117,3,Owning things & Possessions,Do you think that owning lots of things makes people happy? Why?,mp3_files/audio_num_117.mp3
118,3,Owning things & Possessions,Do you think television and films can make people want to get new possessions? Why do they have this effect?,mp3_files/audio_num_118.mp3
119,3,Owning things & Possessions,Are there any benefits to society of people wanting to get new possessions? Why do you think this is?,mp3_files/audio_num_119.mp3
120,3,Owning things & Possessions,Do you think people will consider that having lots of possessions is a sign of success in the future? Why?,mp3_files/audio_num_120.mp3
121,1,Food and cooking,What sorts of food do you like eating most? [Why?],mp3_files/audio_num_121.mp3
122,1,Food and cooking,Who normally does the cooking in your home? [Why/Why not?],mp3_files/audio_num_122.mp3
123,1,Food and cooking,Do you watch cookery programmes on TV? [Why/Why not?],mp3_files/audio_num_123.mp3
124,1,Food and cooking,"In general, do you prefer eating out or eating at home? [Why?]",mp3_files/audio_num_124.mp3
125,3,Different types of home & Finding a place to live,What kinds of home are most popular in your country? Why is this?,mp3_files/audio_num_125.mp3
126,3,Different types of home & Finding a place to live,What do you think are the advantages of living in a house rather than an apartment?,mp3_files/audio_num_126.mp3
127,3,Different types of home & Finding a place to live,Do you think that everyone would like to live in a larger home? Why is that?,mp3_files/audio_num_127.mp3
128,3,Different types of home & Finding a place to live,How easy is it to find a place to live in your country?,mp3_files/audio_num_128.mp3
129,3,Different types of home & Finding a place to live,Do you think it's better to rent or to buy a place to live in? Why?,mp3_files/audio_num_129.mp3
130,3,Different types of home & Finding a place to live,Do you agree that there is a right age for young adults to stop living with their parents? Why is that?,mp3_files/audio_num_130.mp3
131,1,Friends,How often do you go out with friends? [Why/Why not?],mp3_files/audio_num_131.mp3
132,1,Friends,Tell me about your best friend at school.,mp3_files/audio_num_132.mp3
133,1,Friends,How friendly are you with your neighbours? [Why/Why not?],mp3_files/audio_num_133.mp3
134,1,Friends,"Which is more important to you, friends or family? [Why?]",mp3_files/audio_num_134.mp3
135,3,Reading and children & Reading for different purposes,What kinds of books are most popular with children in your country? Why do you think that is?,mp3_files/audio_num_135.mp3
136,3,Reading and children & Reading for different purposes,Why do you think some children do not read books very often?,mp3_files/audio_num_136.mp3
137,3,Reading and children & Reading for different purposes,How do you think children can be encouraged to read more?,mp3_files/audio_num_137.mp3
138,3,Reading and children & Reading for different purposes,Are there any occasions when reading at speed is a useful skill to have? What are they?,mp3_files/audio_num_138.mp3
139,3,Reading and children & Reading for different purposes,Are there any jobs where people need to read a lot? What are they?,mp3_files/audio_num_139.mp3
140,3,Reading and children & Reading for different purposes,Do you think that reading novels is more interesting than reading factual books? Why is that?,mp3_files/audio_num_140.mp3
141,1,Names,How did your parents choose your name(s)?,mp3_files/audio_num_141.mp3
142,1,Names,Does your name have any special meaning?,mp3_files/audio_num_142.mp3
143,1,Names,Is your name common or unusual in your country?,mp3_files/audio_num_143.mp3
144,1,Names,"If you could change your name, would you? [Why/Why not?]",mp3_files/audio_num_144.mp3
145,3,Different types of TV programmes & TV advertising,What are the most popular kinds of TV programmes in your country? Why is this?,mp3_files/audio_num_145.mp3
146,3,Different types of TV programmes & TV advertising,Do you think there are too many game shows on TV nowadays? Why?,mp3_files/audio_num_146.mp3
147,3,Different types of TV programmes & TV advertising,Do you think TV is the main way for people to get the news in your country? What other ways are there?,mp3_files/audio_num_147.mp3
148,3,Different types of TV programmes & TV advertising,What types of products are advertised most often on TV?,mp3_files/audio_num_148.mp3
149,3,Different types of TV programmes & TV advertising,Do you think that people pay attention to adverts on TV? Why do you think that is?,mp3_files/audio_num_149.mp3
150,3,Different types of TV programmes & TV advertising,How important are regulations on TV advertising?,mp3_files/audio_num_150.mp3
151,1,Health,Is it important,mp3_files/audio_num_151.mp3
152,1,Health,"If you catch a cold, what do you do to help you feel better? [Why?]",mp3_files/audio_num_152.mp3
153,1,Health,Do you pay attention to,mp3_files/audio_num_153.mp3
154,1,Health,What could you do to have a healthier lifestyle?,mp3_files/audio_num_154.mp3
155,1,Health,Do you do any exercise? How long?,mp3_files/audio_num_155.mp3
156,1,Health,Why a healthy diet is important for us?,mp3_files/audio_num_156.mp3
157,3,Arriving early & Being patient,In what kinds of situations should people always arrive early?,mp3_files/audio_num_157.mp3
158,3,Arriving early & Being patient,How important is it to arrive early in your country?,mp3_files/audio_num_158.mp3
159,3,Arriving early & Being patient,How can modern technology help people to arrive early?,mp3_files/audio_num_159.mp3
160,3,Arriving early & Being patient,What kinds of jobs require the most,mp3_files/audio_num_160.mp3
161,3,Arriving early & Being patient,Is it always better to be patient in work (or studies)?,mp3_files/audio_num_161.mp3
162,3,Arriving early & Being patient,"Do you agree or disagree that the older people are, the more patient they are?",mp3_files/audio_num_162.mp3
163,1,Clothes,Where do you buy most of your clothes? [Why?],mp3_files/audio_num_163.mp3
164,1,Clothes,How often do you buy new clothes for yourself? [Why?],mp3_files/audio_num_164.mp3
165,1,Clothes,How do you decide which clothes to buy? [Why?],mp3_files/audio_num_165.mp3
166,1,Clothes,Have the kinds of clothes you like changed in recent years? [Why?/Why not?],mp3_files/audio_num_166.mp3
167,3,Money and young people & Money and society,Why do some parents give their children money to spend each week?,mp3_files/audio_num_167.mp3
168,3,Money and young people & Money and society,Do you agree that schools should teach children how to manage money?,mp3_files/audio_num_168.mp3
169,3,Money and young people & Money and society,Do you think it is a good idea for students to earn money while studying?,mp3_files/audio_num_169.mp3
170,3,Money and young people & Money and society,Do you think it is true that in today's society money cannot buy happiness?,mp3_files/audio_num_170.mp3
171,3,Money and young people & Money and society,What disadvantages are there in a society where the gap between rich and poor is very large?,mp3_files/audio_num_171.mp3
172,3,Money and young people & Money and society,Do you think richer countries have a responsibility to help poorer countries?,mp3_files/audio_num_172.mp3
173,1,Flowers and plants,Do you have a favourite flower or plant? [Why/Why not?],mp3_files/audio_num_173.mp3
174,1,Flowers and plants,What kinds of flowers and plants grow near where you live? [Why/Why not?],mp3_files/audio_num_174.mp3
175,1,Flowers and plants,Is it important to you to have flowers and plants in your home? [Why/Why not?],mp3_files/audio_num_175.mp3
176,1,Flowers and plants,Have you ever bought flowers for someone else? [Why/Why not?],mp3_files/audio_num_176.mp3
177,3,Online reviews & Customer service,What kinds of things do people write online reviews about in your country?,mp3_files/audio_num_177.mp3
178,3,Online reviews & Customer service,Why do some people write online reviews?,mp3_files/audio_num_178.mp3
179,3,Online reviews & Customer service,Do you think that online reviews are good for both shoppers and companies?,mp3_files/audio_num_179.mp3
180,3,Online reviews & Customer service,What do you think it might be like to work in a customer service job?,mp3_files/audio_num_180.mp3
181,3,Online reviews & Customer service,Do you agree that customers are more likely to complain nowadays?,mp3_files/audio_num_181.mp3
182,3,Online reviews & Customer service,How important is it for companies to take all customer complaints seriously?,mp3_files/audio_num_182.mp3
183,1,Accommodation,Tell me about the kind of accommodation you live in?,mp3_files/audio_num_183.mp3
184,1,Accommodation,How long have you lived there?,mp3_files/audio_num_184.mp3
185,1,Accommodation,What do you like about living there?,mp3_files/audio_num_185.mp3
186,1,Accommodation,What sort of accommodation would you most like to live in?,mp3_files/audio_num_186.mp3
187,1,Accommodation,Tell me about the kind of accommodation you live in,mp3_files/audio_num_187.mp3
188,1,Art,Are you good at art?,mp3_files/audio_num_188.mp3
189,1,Art,Did you learn art at school when you were a child?,mp3_files/audio_num_189.mp3
190,1,Art,What kind of art do you like?,mp3_files/audio_num_190.mp3
191,1,Art,Is art popular in your country?,mp3_files/audio_num_191.mp3
192,1,Art,Have you ever been to an art gallery?,mp3_files/audio_num_192.mp3
193,1,Art,Do you think children can benefit from going to art galleries?,mp3_files/audio_num_193.mp3
194,1,Advertisements,Where can you see advertisements?,mp3_files/audio_num_194.mp3
195,1,Advertisements,Do you want to be shown in the advertisement?,mp3_files/audio_num_195.mp3
196,1,Advertisements,What kind of advertisements do you dislike?,mp3_files/audio_num_196.mp3
197,1,Advertisements,Have you ever bought something because of its advertisement?,mp3_files/audio_num_197.mp3
198,1,Bicycles,How popular are bicycles in your hometown? [Why?],mp3_files/audio_num_198.mp3
199,1,Bicycles,How often do you ride a bicycle? [Why/Why not?],mp3_files/audio_num_199.mp3
200,1,Bicycles,Do you think that bicycles are suitable for all ages? [Why/Why not?],mp3_files/audio_num_200.mp3
201,1,Bicycles,What are the advantages of a bicycle compared to a car? [Why?],mp3_files/audio_num_201.mp3
202,1,Birthday,What is your date of birth?,mp3_files/audio_num_202.mp3
203,1,Birthday,When was the last time you celebrated your birthday?,mp3_files/audio_num_203.mp3
204,1,Birthday,Describe a birthday party you have attended?,mp3_files/audio_num_204.mp3
205,1,Birthday,Do you celebrate your family members' birthday?,mp3_files/audio_num_205.mp3
206,1,Birthday,Do you celebrate your family members' birthday? [Why/why not?],mp3_files/audio_num_206.mp3
207,1,Birthday,Do you usually celebrate your birthdays?,mp3_files/audio_num_207.mp3
208,1,Birthday,How did you celebrate your last birthday?,mp3_files/audio_num_208.mp3
209,1,Birthday,Which birthdays are the most important ones in your country?,mp3_files/audio_num_209.mp3
210,1,Birthday,Do you think children should celebrate their birthdays with a party?,mp3_files/audio_num_210.mp3
211,1,Birthday,What do you usually do on your birthdays?,mp3_files/audio_num_211.mp3
212,1,Birthday,What kinds of birthday gifts do you like to receive?,mp3_files/audio_num_212.mp3
213,1,Birthday,How do people often celebrate birthdays in your country?,mp3_files/audio_num_213.mp3
214,1,Boring things,What will you do when you feel bored?,mp3_files/audio_num_214.mp3
215,1,Boring things,What kind of things are boring to you?,mp3_files/audio_num_215.mp3
216,1,Boring things,"Whom do you think get bored easily, the young or the old?  Do you think school is boring?",mp3_files/audio_num_216.mp3
217,1,Cars,Did you enjoy travelling by car when you were a child? (Why/Why not?),mp3_files/audio_num_217.mp3
218,1,Cars,Would you generally prefer to be a driver or a passenger in a car? (Why/Why not?),mp3_files/audio_num_218.mp3
219,1,Cars,How important is the colour of a car to you? (Why/Why not?),mp3_files/audio_num_219.mp3
220,1,Cars,What type of car would you most like to have in the future? (Why/Why not?),mp3_files/audio_num_220.mp3
221,1,Childhood,Did you enjoy your childhood?,mp3_files/audio_num_221.mp3
222,1,Childhood,What is your first memory of your childhood?,mp3_files/audio_num_222.mp3
223,1,Childhood,Did you have a lot of friends when you were a child?,mp3_files/audio_num_223.mp3
224,1,Childhood,What did you enjoy doing as a child?,mp3_files/audio_num_224.mp3
225,1,Childhood,Do you think it is better for children to grow up in the city or in the countryside?,mp3_files/audio_num_225.mp3
226,1,Cinema,Did you go to the cinema/movies a lot when you were a child? (Why/Why not?),mp3_files/audio_num_226.mp3
227,1,Cinema,Do you still like the same films/movies that you liked when you were a child?,mp3_files/audio_num_227.mp3
228,1,Cinema,Do you prefer to go to the cinema/movies with friends or on your own? (Why/Why not?),mp3_files/audio_num_228.mp3
229,1,Cinema,Do you often go to the cinema?,mp3_files/audio_num_229.mp3
230,1,Cinema,What kinds of movies do you like to watch?,mp3_files/audio_num_230.mp3
231,1,Cinema,Did you like to go to the cinema when you were a child?,mp3_files/audio_num_231.mp3
232,1,Cinema,Do you prefer to go alone or with friends?,mp3_files/audio_num_232.mp3
233,1,Clothes,Are clothes important to you?,mp3_files/audio_num_233.mp3
234,1,Clothes,What kind of clothes do you usually wear?,mp3_files/audio_num_234.mp3
235,1,Clothes,Do you ever wear the traditional clothes of your country?,mp3_files/audio_num_235.mp3
236,1,Clothes,Where do you usually buy your clothes?,mp3_files/audio_num_236.mp3
237,1,Clothes,Have you ever worn a uniform?,mp3_files/audio_num_237.mp3
238,1,Clothes,Do most people in your country follow fashion?,mp3_files/audio_num_238.mp3
239,1,Cold weather,Have you ever been in very cold weather? [When?],mp3_files/audio_num_239.mp3
240,1,Cold weather,How often is the weather cold where you come from?,mp3_files/audio_num_240.mp3
241,1,Cold weather,Are some parts of your country colder than others? [Why?],mp3_files/audio_num_241.mp3
242,1,Cold weather,Would you prefer to live in a hot place or a cold place? [Why?],mp3_files/audio_num_242.mp3
243,1,Colour,What is your favourite colour? [Why?],mp3_files/audio_num_243.mp3
244,1,Colour,Do you like the same colours now as you did when you were younger? [Why/Why not?],mp3_files/audio_num_244.mp3
245,1,Colour,What can you learn about a person from the colours they like?,mp3_files/audio_num_245.mp3
246,1,Colour,Do any colours have a special meaning in your culture?,mp3_files/audio_num_246.mp3
247,1,Computers,Do you often use a computer?,mp3_files/audio_num_247.mp3
248,1,Computers,How do you usually get online?,mp3_files/audio_num_248.mp3
249,1,Computers,Do you prefer desktops or laptops?,mp3_files/audio_num_249.mp3
250,1,Computers,What do you use your computer for?,mp3_files/audio_num_250.mp3
251,1,Computers,Do you think it is important to learn how to use a computer?,mp3_files/audio_num_251.mp3
252,1,Cooking,What are some of the things that you can cook?,mp3_files/audio_num_252.mp3
253,1,Cooking,Do you like cooking?,mp3_files/audio_num_253.mp3
254,1,Cooking,How often do you cook?,mp3_files/audio_num_254.mp3
255,1,Cooking,What dishes are you best at cooking?,mp3_files/audio_num_255.mp3
256,1,Cooking,Does anyone in your family like to cook?,mp3_files/audio_num_256.mp3
257,1,Countryside,"Can you tell me your full name, please?",mp3_files/audio_num_257.mp3
258,1,Countryside,What shall I call you?,mp3_files/audio_num_258.mp3
259,1,Countryside,Tell me about the countryside outside your town/city.,mp3_files/audio_num_259.mp3
260,1,Countryside,Would you like to live in the countryside or a metropolitan city in the future? [Why?],mp3_files/audio_num_260.mp3
261,1,Countryside,Why do some people move to a city from a rural area? Do you know someone who did so?,mp3_files/audio_num_261.mp3
262,1,Countryside,Do you enjoy visiting large cities or small villages? [Why?],mp3_files/audio_num_262.mp3
263,1,Countryside,Do you like going to the countryside?,mp3_files/audio_num_263.mp3
264,1,Countryside,Why is the countryside usually quieter than the city?,mp3_files/audio_num_264.mp3
265,1,Countryside,Why do many people prefer to live in the countryside?,mp3_files/audio_num_265.mp3
266,1,Countryside,Where are the quietest places in cities?,mp3_files/audio_num_266.mp3
267,1,Countryside,What will the countryside look like in your country in the future?,mp3_files/audio_num_267.mp3
268,1,Daily Routine,What would you like to change in your daily routine?,mp3_files/audio_num_268.mp3
269,1,Daily Routine,Are all your days the same?,mp3_files/audio_num_269.mp3
270,1,Daily Routine,Tell me about your typical weekday and your typical weekend.,mp3_files/audio_num_270.mp3
271,1,Daily Routine,What is the balance of work/study and free time in your normal day?,mp3_files/audio_num_271.mp3
272,1,Dancing,Do you enjoy dancing? [Why/Why not?],mp3_files/audio_num_272.mp3
273,1,Dancing,Has anyone ever taught you to dance? [Why/Why not?],mp3_files/audio_num_273.mp3
274,1,Dancing,Tell me about any traditional dancing in your country.,mp3_files/audio_num_274.mp3
275,1,Dancing,Tell me about some popular dancing in your country?,mp3_files/audio_num_275.mp3
276,1,Dancing,Do you think that traditional dancing will be popular in the future? [Why/Why not?],mp3_files/audio_num_276.mp3
277,1,Dictionaries,Do you often use a dictionary?,mp3_files/audio_num_277.mp3
278,1,Dictionaries,What do you use dictionaries for?,mp3_files/audio_num_278.mp3
279,1,Dictionaries,What kinds of dictionaries do you think are most useful?,mp3_files/audio_num_279.mp3
280,1,Dictionaries,Do you think dictionaries are useful for learning a language?,mp3_files/audio_num_280.mp3
281,1,Dictionaries,What kind of information you find in a dictionary?,mp3_files/audio_num_281.mp3
282,1,Bike,How often do you use it?,mp3_files/audio_num_282.mp3
283,1,Bike,How old were you when you learned to ride a bike?,mp3_files/audio_num_283.mp3
284,1,Bike,Do many people in your country using bicycles?,mp3_files/audio_num_284.mp3
